Number,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Creator,Creation Date,Modifier,Modification Date
94:38,The data description and evaluation allows model users to (1) see whether a model was mainly built o…,"The data description and evaluation allows model users to (1) see whether a model was mainly built on its authors’ own data and knowledge, or on that of a certain expert or group of experts, or on a systematic evaluation of the literature, and (2) assess how uncertain the data are.",Grimm_et_al_2014.pdf,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, PRT justification",2,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TR",8:2053,8:2335,egould,29/04/2020,egould,29/04/2020
94:40,"Suitable habitat for soil organisms may be scarce, thus leading to locally high population densities…","Suitable habitat for soil organisms may be scarce, thus leading to locally high population densities, because soil, being more static than water or air, is heterogeneous: physical conditions often vary widely on a scale of a few centimetres. Moreover, toxic chemicals are likely to be unevenly distributed in the soil as well. The spatially explicit individual-based model presented in Meli et al. (2013) is developed to explore the consequences of these heterogeneities for the population dynamics of soil invertebrates, in particular the collembolan Folsomia candida. F. candida is a common arthropod that occurs in soils worldwide and is used as a standard test organism for estimating the effects of pesticides on non-target soil arthropods.",Grimm_et_al_2014.pdf,"1.1-problem_formulation: define model purpose, PRT example",2,,6:5636,6:6381,egould,1/05/2020,egould,1/05/2020
94:41,In order to ensure that the computer code implementing the model works according to its specificatio…,"In order to ensure that the computer code implementing the model works according to its specification in the ODD model description, a series of tests has been performed. These tests included syntax checking of the code, visual testing through NetLogo interface, print statements, spot tests with agent monitors, stress tests with extreme parameters values, test procedures and test programs, and code reviews.",Grimm_et_al_2014.pdf,"4.3-model_calibration_fitting_checking: Implementation verification, PRT example",2,,6:7035,6:7444,egould,1/05/2020,egould,1/05/2020
95:1,Evaluation of model assumptions,Evaluation of model assumptions,Araujo_et_al_2019.pdf,5.5-model_validation_evaluation: evaluate model assumptions,1,,4:6235,4:6266,egould,30/04/2020,egould,30/04/2020
95:2,Evaluation of model outputs,Evaluation of model outputs,Araujo_et_al_2019.pdf,5.6-model_validation_evaluation: evaluate model outputs,1,,4:6310,4:6337,egould,30/04/2020,egould,30/04/2020
95:3,"When evaluating biodiversity models, three critical questions need to be addressed: How robust is th…","When evaluating biodiversity models, three critical questions need to be addressed: How robust is the model to departures from the assumptions? How meaningful are the evaluation metrics used? How predictive is the model when tested against independent data? In addressing these questions, at least three properties of the models can be evaluated (37, 61): realism, accuracy, and generality. Realism is the ability of a model to identify the critical predictors directly affecting the system and to characterize their effects and interac- tions appropriately. Accuracy is the ability of the model to predict events correctly within the system being modeled (e.g., species dis- tributions in the same space and time as the input data). Generality is the ability of the model to predict events outside the modeled system via projection or transfer to a different resolution, geograph- ic location, or time period. Depending on the question at hand, one of these properties might be more important than the other (25)",Araujo_et_al_2019.pdf,"4.2-model_calibration_fitting_checking: choose performance criteria, 5.0-model_validation_evaluation",2,,4:4598,4:5611,egould,30/04/2020,egould,30/04/2020
96:1,Explain analytical objectives,Explain analytical objectives ,Moalemmii-et-al-2019.pdf,1.3.1-problem_formulation: explain analytical objectives,1,"Moallemi, E. A., Elsawah, S., & Ryan, M. J. (2019). Strengthening ‘good’ modelling practices in robust decision support: A reporting guideline for combining multiple model-based methods. Mathematics and Computers in Simu",8:605,8:635,egould,30/04/2020,egould,30/04/2020
96:2,Quotation 96:2,,Moalemmii-et-al-2019.pdf,1.4-problem_formulation: define candidate actions decisions,1,,8:377:515,8:339:135,egould,30/04/2020,egould,30/04/2020
96:3,"Identify outcomes to evaluate decisions under scenarios Descriptive statistic measures, e.g., a mode…","Identify outcomes to evaluate decisions under scenariosDescriptive statistic measures, e.g., a model outcome in the top 10th percentile of worst conditions [73]; satisficing measures, e.g., a minimum performance threshold for achieving a performance objective [65]; regret measures, e.g., choosing a decision with the minimum regret [45] (See more in [50]).",Moalemmii-et-al-2019.pdf,1.3.1-problem_formulation: explain analytical objectives,1,"Descriptive statistic measures, e.g., a model outcome in the top 10th percentile of worst conditions [73]; satisficing measures, e.g., a minimum performance threshold for achieving a performance objective [65]; regret measures, e.g., choosing a decision with the minimum regret [45] (See more in [50]).",8:2578,8:2936,egould,30/04/2020,egould,30/04/2020
96:4,Quotation 96:4,,Moalemmii-et-al-2019.pdf,1.5-problem_formulation: specify scenarios,1,,8:334:514,8:295:136,egould,30/04/2020,egould,30/04/2020
96:5,Quotation 96:5,,Moalemmii-et-al-2019.pdf,2.2:define_conceptual_model: specify key assumptions uncertainties,1,,8:289:512,8:228:134,egould,30/04/2020,egould,30/04/2020
96:6,"Depending on the case, this can be: e.g., to evaluate/trade-off between candidate decisions and anal…","Depending on the case, this can be: e.g., to evaluate/trade-off between candidate decisions and analyse their sensitivity under future scenarios (e.g., [43]); to stress test decisions to find their vulnerabilities in the future (e.g., [10]); to identify worst possible outcomes that a set of decisions could yield (e.g., [21]); to search for ‘good’ decisions which make trade-offs between multiple objectives (e.g., [31]); to search for ‘robust’ decisions making trade-offs between multiple objectives while remaining valid under uncertainty (e.g., [37,53,54]); etc. (also see [36]).",Moalemmii-et-al-2019.pdf,"1.3.1-problem_formulation: explain analytical objectives, PRT example",2,"Moallemi, E. A., Elsawah, S., & Ryan, M. J. (2019). Strengthening ‘good’ modelling practices in robust decision support: A reporting guideline for combining multiple model-based methods. Mathematics and Computers in Simu",8:650,8:1233,egould,1/05/2020,egould,1/05/2020
96:7,Quotation 96:7,,Moalemmii-et-al-2019.pdf,2.2:define_conceptual_model: specify key assumptions uncertainties,1,,13:273:404,13:171:205,egould,5/05/2020,egould,5/05/2020
96:8,Quotation 96:8,,Moalemmii-et-al-2019.pdf,2.2:define_conceptual_model: specify key assumptions uncertainties,1,,13:215:187,13:170:117,egould,5/05/2020,egould,5/05/2020
98:1,"Ensemble: single model, mul􏰀model average .","Ensemble: single model, mul􏰀model average .",Yates-2018-model-transferrabilitee-TREE.pdf,3.4-Choose approach for identifying model structure and parameters,1,,8:1101,8:1145,egould,30/04/2020,egould,30/04/2020
98:2,Scheme: internal cross-valida􏰀on versus external tes􏰀ng on independent datasets ...,Scheme: internal cross-valida􏰀on versus externaltes􏰀ng on independent datasets ...,Yates-2018-model-transferrabilitee-TREE.pdf,4.1-model_calibration_fitting_checking: Choose model calibration and validation scheme,1,,8:1189,8:1274,egould,30/04/2020,egould,30/04/2020
98:3,"Performance: correla􏰀on score, coefficient of determina􏰀on, specificity, sensi􏰀vity, AUC ...","Performance: correla􏰀on score, coefficient of determina􏰀on, specificity, sensi􏰀vity, AUC ...",Yates-2018-model-transferrabilitee-TREE.pdf,3.5-formalise_specify_model: choose estimation performance criteria and technique,1,,8:1275,8:1370,egould,30/04/2020,egould,30/04/2020
98:5,"Predic􏰀on: project model across space, 􏰀me, taxa (into novel condi􏰀ons) ...","Predic􏰀on: project model across space, 􏰀me, taxa (into novel condi􏰀ons) ...",Yates-2018-model-transferrabilitee-TREE.pdf,6.3-model_application: Scenario analysis and simulation,1,,8:1397,8:1475,egould,30/04/2020,egould,30/04/2020
98:6,Visualiza􏰀on: map (or plot) model outputs and associated measure(s) of confidence ...,Visualiza􏰀on: map (or plot) model outputs and associated measure(s) of confidence ...,Yates-2018-model-transferrabilitee-TREE.pdf,6.3-model_application: Scenario analysis and simulation,1,,8:1476,8:1562,egould,30/04/2020,egould,30/04/2020
98:8,Model choice and implementa􏰀on,Model choice and implementa􏰀on,Yates-2018-model-transferrabilitee-TREE.pdf,"3.1-formalise_specify_model: choose model class, framework and approach",1,,8:977,8:1008,egould,30/04/2020,egould,30/04/2020
98:9,"Class: correla􏰀ve, mechanis􏰀c, hybrid ... Algorithm: GLM/GAM, MaxEnt, CLIMEX, FATE-HD ... Ensemble…","Class: correla􏰀ve, mechanis􏰀c, hybrid ...Algorithm: GLM/GAM, MaxEnt, CLIMEX, FATE-HD ... Ensemble: single model, mul􏰀model average ...",Yates-2018-model-transferrabilitee-TREE.pdf,"3.1-formalise_specify_model: choose model class, framework and approach",1,,8:1009,8:1147,egould,30/04/2020,egould,30/04/2020
98:10,"Explora􏰀on: collinearity, spa􏰀al & temporal coverage, quality and resolu􏰀on, outliers, transforma…","Explora􏰀on: collinearity, spa􏰀al & temporal coverage, quality and resolu􏰀on, outliers, transforma􏰀ons ...",Yates-2018-model-transferrabilitee-TREE.pdf,"2.3-define_conceptual_model: identify predictor response variables, data_exploration",2,,8:859,8:968,egould,30/04/2020,egould,30/04/2020
98:11,"Preparati􏰀on: manipula􏰀tion of environmental layers, e.g., standardisa􏰀on, geographic projec􏰀on ...","Prepara􏰀on: manipula􏰀on of environmental layers, e.g., standardisa􏰀on, geographic projec􏰀on ...",Yates-2018-model-transferrabilitee-TREE.pdf,2.4-define_conceptual_model: prior knowledge data specification and evaluation,1,,8:759,8:858,egould,30/04/2020,egould,7/05/2020
98:12,"Response variable(s) Type: presence, absence, abundance ... Species traits: dispersal, physiological…","Response variable(s)Type: presence, absence, abundance ...Species traits: dispersal, physiological tolerance ...",Yates-2018-model-transferrabilitee-TREE.pdf,2.3-define_conceptual_model: identify predictor response variables,1,,8:614,8:728,egould,30/04/2020,egould,30/04/2020
98:13,"Focal taxa and study objec􏰀ves Organisms: terrestrial, marine, freshwater ... Common goals: conserv…","Focal taxa and study objec􏰀vesOrganisms: terrestrial, marine, freshwater ... Common goals: conserva􏰀on planning, impact assessment, theore􏰀cal ecology, niche evolu􏰀on ...",Yates-2018-model-transferrabilitee-TREE.pdf,"1.1-problem_formulation: define model purpose, PRT item",2,"Yates, K. L., Bouchet, P. J., Caley, M. J., Mengersen, K., Randin, C. F., Parnell, S., . . . Sequeira, A. M. M. (2018). Outstanding Challenges in the Transferability of Ecological Models. Trends Ecol. Evol. (Amst.), 33(1",8:430,8:605,egould,30/04/2020,egould,30/04/2020
100:1,An ongoing challenge with mental models research is that it is difficult to decide which method is t…,"An ongoing challenge with mental models research is that it is difficult to decide which method is the most appropri- ate for a given context and why. Several methods are avail- able to elicit mental models, namely interviews (Morgan, Fischoff, Bostrom, & Atman, 2002), drawings (Jones et al., 2014), repertory grids (Kelly, 1955), and a variety of map- ping techniques including influence diagrams (Diffenbach, 1982), cognitive maps (Axelrod 1976), fuzzy cognitive maps (Özesmi & Özesmi, 2004), and Bayesian belief networks (BBN) (e.g., Pollino, Woodberry, Nicholson, Korb, & Hart, 2007). Depending on the application, some elicitation and analysis methods will be more suitable than others, yet the literature provides little guidance in how to navigate among the choices (see Jones et al., 2014).",Moon_et_al_2019.pdf,2.1-define_conceptual_model: choose elicitation and representation method,1, Moon et al. 2019 provide guidance on how to choose different methods of eliciting mental models. ,2:1334,2:2135,egould,30/04/2020,egould,30/04/2020
101:1,"The acquisition, preparation and selection of predictor variables are thus crucial steps for constru…","The acquisition, preparation and selection of predictor variables are thus crucial steps for construction of species distributions models.",Araujo_et_al_2019 781.pdf,2.3-define_conceptual_model: identify predictor response variables,1,,7:469,7:607,egould,30/04/2020,egould,30/04/2020
101:2,The gold standard requires that the conditions on which the response variable depends be captured by…,"The gold standard requires that the conditions on which the response variable depends be captured by the predictor variables selected, at the spatial and temporal resolutions chosen, and that the uncertainty around these conditions (i.e., based on measurement and/or model errors) be quantifiable in the final model.",Araujo_et_al_2019 781.pdf,2.3-define_conceptual_model: identify predictor response variables,1,,7:608,7:924,egould,30/04/2020,egould,30/04/2020
